id_unico,type,pais
Movie_47904,Película,Belgium
Movie_47904,Película,France
Movie_47904,Película,Italy
Movie_47904,Película,Tunisia
Movie_43931,Película,United States
Movie_51072,Película,France
Movie_37048,Película,Japan
Movie_52015,Película,United States
Movie_33427,Película,United States
Movie_62989,Película,Canada
Movie_36950,Película,United States
Movie_38843,Película,United States
Movie_61722,Película,Switzerland
Movie_57703,Película,Japan
Movie_57703,Película,Netherlands
Movie_38961,Película,United Kingdom
Movie_45556,Película,Canada
Movie_45556,Película,Australia
Movie_71172,Película,Japan
Movie_148284,Película,India
Movie_34179,Película,Hong Kong
Movie_34179,Película,China
Movie_34179,Película,Singapore
Movie_44113,Película,United States
Movie_57059,Película,Netherlands
Movie_57059,Película,Belgium
Movie_41479,Película,United States
Movie_44129,Película,United States
Movie_59457,Película,Germany
Movie_59457,Película,France
Movie_59457,Película,Hungary
Movie_46441,Película,United States
Movie_50393,Película,United States
Movie_46713,Película,Canada
Movie_46713,Película,United States
Movie_27583,Película,United States
Movie_35138,Película,China
Movie_35138,Película,Hong Kong
Movie_38093,Película,United States
Movie_39210,Película,France
Movie_39210,Película,Italy
Movie_39210,Película,Japan
Movie_39210,Película,United States
Movie_66113,Película,Australia
Movie_50838,Película,Canada
Movie_50838,Película,United States
Movie_41592,Película,United Kingdom
Movie_63555,Película,Mexico
Movie_11761,Película,United States
Movie_39781,Película,United States
Movie_52505,Película,United States
Movie_46528,Película,India
Movie_46528,Película,New Zealand
Movie_46528,Película,South Korea
Movie_46528,Película,United States
Movie_41201,Película,France
Movie_41201,Película,United Kingdom
Movie_39522,Película,United States
Movie_43920,Película,Canada
Movie_43920,Película,France
Movie_43920,Película,United Kingdom
Movie_148608,Película,United States
Movie_41211,Película,France
Movie_41211,Película,United States
Movie_609197,Película,Japan
Movie_44716,Película,Denmark
Movie_44716,Película,Sweden
Movie_27569,Película,United States
Movie_109149,Película,Japan
Movie_31867,Película,Canada
Movie_31867,Película,United States
Movie_57695,Película,France
Movie_57695,Película,Germany
Movie_39452,Película,United Kingdom
Movie_39452,Película,United States
Movie_68523,Película,United States
Movie_55890,Película,United States
Movie_46837,Película,United States
Movie_46837,Película,France
Movie_39312,Película,United States
Movie_48289,Película,United States
Movie_40170,Película,United States
Movie_54553,Película,United States
Movie_44221,Película,United States
Movie_44037,Película,United States
Movie_44037,Película,Bulgaria
Movie_29426,Película,Canada
Movie_29426,Película,United States
Movie_301307,Película,United States
Movie_51447,Película,France
Movie_52454,Película,United States
Movie_30618,Película,United States
Movie_38031,Película,Spain
Movie_38031,Película,United Kingdom
Movie_38031,Película,United States
Movie_52850,Película,United Kingdom
Movie_315620,Película,United Kingdom
Movie_43754,Película,United States
Movie_53457,Película,France
Movie_43434,Película,Germany
Movie_43434,Película,France
Movie_65760,Película,Canada
Movie_65760,Película,Germany
Movie_35691,Película,United States
Movie_44629,Película,Australia
Movie_48844,Película,Canada
Movie_48492,Película,China
Movie_48492,Película,Hong Kong
Movie_57448,Película,France
Movie_33555,Película,United States
Movie_47519,Película,Japan
Movie_41382,Película,United States
Movie_52010,Película,United Kingdom
Movie_49350,Película,Canada
Movie_49350,Película,United States
Movie_43418,Película,Australia
Movie_39413,Película,France
Movie_64246,Película,Japan
Movie_52587,Película,France
Movie_52587,Película,Germany
Movie_50674,Película,Germany
Movie_50674,Película,South Africa
Movie_50674,Película,United States
Movie_36970,Película,France
Movie_36970,Película,Monaco
Movie_36970,Película,Spain
Movie_36970,Película,Switzerland
Movie_36970,Película,United States
Movie_41556,Película,United States
Movie_40016,Película,United States
Movie_27584,Película,United States
Movie_27586,Película,United States
Movie_73529,Película,Japan
Movie_37708,Película,United States
Movie_118301,Película,Japan
Movie_35169,Película,United States
Movie_44734,Película,Japan
Movie_39800,Película,United States
Movie_37737,Película,India
Movie_48871,Película,United States
Movie_61984,Película,Japan
